Opened database successfully: ACC_BBALL
PLAYER_ID TEAM_ID UNIFORM_NUM FIRST_NAME LAST_NAME MPG PPG RPG APG SPG BPG
144 11 12 Chris Jones 32 7 3 2 0.6 0.3
159 12 21 Tyler Roberson 20 5 5 1 0.5 0.8
173 13 0 Devon Hall 27 8 4 2 0.5 0.1
199 15 34 Austin Arians 23 9 2 1 0.5 0.1
PLAYER_ID TEAM_ID UNIFORM_NUM FIRST_NAME LAST_NAME MPG PPG RPG APG SPG BPG
6 1 2 Connar Tava 25 6 5 2 0.7 0.3
75 6 22 Deng Adel 30 12 5 2 0.6 0.4
99 8 3 Terry Henderson 31 14 3 2 0.7 0.6
144 11 12 Chris Jones 32 7 3 2 0.6 0.3
159 12 21 Tyler Roberson 20 5 5 1 0.5 0.8
